 Gene ID,Gene Name,DesignElementAccession,wt_A_sucrose,wt_B_sucrose,wt_C_sucrose,wt_72h_MS_1,wt_72h_MS_2,wt_72h_MS_3,'sucrose; 1 percent' vs 'none' in 'wild type'.p-value,'sucrose; 1 percent' vs 'none' in 'wild type'.t-statistic,'sucrose; 1 percent' vs 'none' in 'wild type'.log2foldchange
AT1G01010,NAC001,261585_at,5.729373586,5.800445394,5.704966158,5.470747684,5.227620807,5.687037964,0.104967673,2.058381944,0.3
AT1G01030,NGA3,261568_at,4.551684096,4.892991804,4.520057621,4.338297433,4.554741973,4.390248652,NA,1.649679563,0.2
AT1G01040,DCL1,261584_at,6.981538716,6.968274872,6.899591376,7.408466268,6.586674074,6.4977911,0.655570611,0.523692097,0.1
AT1G01050,PPA1,261579_at,10.60528961,10.49371091,10.30714164,10.03668544,10.23839569,10.33730547,NA,2.004376352,0.3
AT1G01060,LHY,261569_at,6.405044255,6.075643949,5.810239465,6.857227973,5.878874706,4.974243435,0.689634665,0.469764541,0.2
AT1G01070,,261576_at,6.294722464,6.587030775,6.607382435,5.647649064,5.33642053,5.020865309,0.001568474,6.599796135,1.2
AT1G01080,,261577_at,9.169613197,9.261933317,9.140112311,8.159446155,8.657220938,8.568744354,0.005189469,4.904597916,0.7
AT1G01090,PDH-E1 ALPHA,261583_at,11.66876573,11.53326436,11.67701402,11.92416986,11.57309532,11.57167406,NA,-0.475949527,-0.1
AT1G01100,RPP1A,261578_at,11.77007957,11.84267553,11.78857612,11.70001897,11.94813132,11.84164388,NA,-0.262357518,0
AT1G01110,IQD18,261580_at,5.486499455,5.634920789,5.480353128,6.20287612,5.742418049,5.734353671,0.070568692,-2.37416568,-0.4
AT1G01120,KCS1,261570_at,10.2007267,10.23156606,10.18156889,10.60559909,9.429489938,9.319708476,0.251749233,1.374584264,0.4
AT1G01130,,261575_at,4.753644801,4.802172486,4.963555423,4.675644144,5.028145255,4.704198125,NA,0.2758142,0
AT1G01140,CIPK9,261581_at,8.734451205,8.920003437,8.514150398,9.152367128,8.358351572,8.721660838,0.930968265,-0.10310396,0
AT1G01150,,261571_at,2.948064768,2.826636995,2.865376601,2.936604034,2.889555855,3.034975619,NA,-0.690326231,-0.1
AT1G01160,GIF2,261582_at,7.670225769,7.718412911,7.616142362,8.356528963,7.540739035,7.975449054,0.216796251,-1.492222737,-0.3
AT1G01170,,261572_at,9.562449991,9.683214036,9.508408777,10.08796564,10.49494949,10.22457278,0.00455535,-5.073304572,-0.7
AT1G01190,CYP78A8,261574_at,5.840311873,5.883484158,5.439588842,5.285006156,5.679991569,5.805283652,0.530446739,0.735284874,0.1
AT1G01200,RABA3,261042_at,5.068132187,4.92364112,5.016252022,4.901287485,4.365851012,4.480474659,0.045559315,2.725513271,0.4
AT1G01220,FKGP,261043_at,7.987965818,7.843498161,7.8886161,7.106667866,7.196448635,7.674369097,0.017116999,3.601386476,0.6
AT1G01225,,261025_at,6.555631595,6.651802488,6.46061638,5.736189662,6.079043608,5.970509046,0.00519736,4.901062693,0.6
AT1G01230,,261057_at,8.608120839,8.497406199,8.741209575,9.062699467,9.12182187,8.980828553,0.013463917,-3.836756659,-0.4
AT1G01240,,261026_at,7.459993071,7.035493882,7.69766423,9.796126459,9.285279191,9.255216066,0.000381099,-9.825504493,-2
AT1G01250,ERF023,261059_at,4.771396534,4.68688458,4.723685853,5.42269736,5.001612028,5.258005032,0.014354483,-3.776964749,-0.5
AT1G01260,BHLH13,261050_at,6.788747931,6.845786473,7.00639314,7.162156896,7.094581586,7.317316221,NA,-2.620877883,-0.3
AT1G01280,CYP703A2,261051_at,3.084912341,3.05444688,3.22948097,3.158228823,3.27663946,3.092458817,NA,-0.46839327,-0.1
AT1G01290,CNX3,261044_at,6.985958333,7.023825638,6.873792049,7.507931227,7.124739093,6.992288102,0.179104487,-1.643578566,-0.2
AT1G01300,APF2,261055_at,9.924715261,10.09470751,10.13051103,8.898586999,9.270193527,8.863977768,0.001043824,7.319611927,1
AT1G01310,,261045_at,3.400456226,3.279028453,3.335825379,3.392714878,3.608018029,3.310010443,NA,-0.822260247,-0.1
AT1G01320,,261053_at,10.66056916,10.95523902,10.78703708,8.69260478,9.396507844,9.631956595,0.001376618,6.805720005,1.6
AT1G01340,CNGC10,261027_at,4.671926245,4.939197412,4.718868735,5.136184402,4.731226045,5.605019051,0.145760196,-1.804662445,-0.4
AT1G01360,PYL9,261056_at,7.706017845,7.708502377,7.420926675,7.830205055,7.394661076,7.638834081,NA,-0.063283063,0
AT1G01370,HTR12,261058_at,5.133109688,5.325303827,5.381729841,5.066756853,5.524111293,5.476467706,NA,-0.499327398,-0.1
AT1G01380,ETC1,257490_x_at,4.268754416,3.988772544,4.362837499,4.198923202,3.999381051,3.848428068,NA,1.315459459,0.2
AT1G01390,,261046_at,7.670794252,7.739734308,8.040964274,5.654174854,5.531858011,6.121631807,0.000247273,11.4332402,2
AT1G01410,APUM22,261047_at,2.92860639,3.05975186,3.20746562,3.103994925,3.124789327,3.068345564,NA,-0.294101989,0
AT1G01420,UGT72B3,261048_at,5.803861049,6.526041314,6.1325752,5.396424506,5.439367873,5.891525932,0.043180975,2.769701749,0.6
AT1G01430,TBL25,261049_at,10.32738774,10.33720627,10.29540707,10.32861774,10.4869839,10.40982332,NA,-0.844847851,-0.1
AT1G01440,,261052_at,7.214720102,6.928291555,7.425725759,7.791353578,7.760245544,7.92095398,0.008282598,-4.351868502,-0.6
AT1G01450,,259435_at,3.522922315,3.706934666,3.414313262,3.694348231,3.754797983,3.739237375,NA,-1.555103338,-0.2
AT1G01460,PIP5K10,259425_at,3.522907972,3.417645428,3.43793328,3.36277806,3.895848146,3.472444425,NA,-0.769033536,-0.1
AT1G01470,LEA14,259426_at,9.11766701,9.189585191,9.241786923,9.323458405,9.515513396,9.713242474,0.054087588,-2.585967125,-0.3
AT1G01480,ACS2,259439_at,4.751459276,4.48713752,4.449754754,4.557268546,4.487996837,4.613264593,NA,0.0813326,0
AT1G01490,,259434_at,9.591949088,9.486135649,9.135640282,10.3298484,9.655865404,9.6101447,0.093203499,-2.15244598,-0.5
AT1G01500,,259436_at,7.54926841,7.223822457,7.470569389,7.714481571,7.783921532,7.889331816,0.031867407,-3.028659399,-0.4
AT1G01510,AN,259438_at,8.419338719,8.278186437,8.122330192,8.793317425,8.301160996,8.337981694,0.286047068,-1.271540516,-0.2
AT1G01520,,259432_at,3.646925712,3.268265423,3.434944372,3.164158267,3.398586438,3.281469582,NA,1.256507443,0.2
AT1G01530,AGL28,259427_at,3.370095122,3.465525348,3.324004842,3.398858369,3.45919872,3.514311852,NA,-0.66826223,-0.1
AT1G01540,,259437_at,8.441082796,8.348880147,8.368762799,9.160423977,8.91079759,9.011024062,0.002914501,-5.660103258,-0.6
AT1G01550,BPS1,259440_at,9.784959378,9.690113215,9.764533904,10.07608367,9.900618454,10.20687163,NA,-2.646283099,-0.3
AT1G01560,MPK11,259428_at,3.533771727,3.590568673,3.791028271,3.838731823,3.790463833,4.319342639,0.099272626,-2.101219684,-0.3
AT1G01570,,259433_at,6.020659932,5.746806567,5.522302262,5.243112826,4.755365344,5.159727308,0.011221823,4.021330242,0.7
AT1G01600,CYP86A4,259429_at,5.392220359,5.289725868,5.670680557,5.93839467,4.815724291,4.67879359,0.396859032,0.997359688,0.3
AT1G01610,GPAT4,259430_at,9.751028149,9.777626146,9.884673615,8.97824236,9.128791934,8.79421025,0.001399353,6.773714503,0.8
AT1G01620,PIP1-3,259431_at,11.33994042,11.23405241,11.62796789,12.65678977,12.18794424,12.08809551,0.004431336,-5.106547738,-0.9
AT1G01630,,261563_at,9.131786907,9.393761748,9.014769689,8.904350632,9.019444464,9.082289296,NA,1.351343043,0.2
AT1G01640,,261586_at,5.939065999,6.151706682,5.692890829,5.489417943,6.351792297,6.007377724,0.934791322,-0.097396411,0
AT1G01650,SPPL4,257484_at,7.359579211,7.307271445,7.577685837,8.119219487,7.970409931,7.694692911,0.017976199,-3.555956882,-0.5
AT1G01660,,261587_at,3.653333669,3.308523616,3.441190147,3.168640581,3.285557223,3.721716752,0.704397082,0.446607439,0.1
AT1G01670,PUB56,261588_at,4.14756302,4.207079157,4.300023635,4.198119943,4.224942742,4.342957239,NA,-0.341681736,0
AT1G01700,ATROPGEF2,261590_at,3.427121664,3.122598005,3.074652249,3.356362666,3.178001957,3.318778063,NA,-0.579818425,-0.1
AT1G01710,,261560_at,7.290144628,7.268196219,7.109037604,7.678965139,7.518624896,7.286343847,0.107893888,-2.037455163,-0.3
AT1G01720,NAC002,261564_at,8.834749967,8.995001929,8.805761235,9.320736794,8.411105287,8.823428676,0.915906457,0.125319251,0
AT1G01725,,261535_at,5.080548965,4.862365616,4.784611079,6.107155663,6.620437276,6.102313971,0.000716327,-8.1368524,-1.4
AT1G01730,,261561_at,7.06245672,7.144518052,6.954980941,7.543778901,7.315267575,7.679879266,0.018425307,-3.530338021,-0.5
AT1G01740,BSK4,261591_at,5.447687351,5.392425171,5.447641507,5.587989499,5.208510598,5.320948803,NA,0.445292057,0.1
AT1G01750,ADF11,261562_at,6.650988702,6.495993467,6.848076157,4.874003948,6.173068123,6.096183503,0.033851872,2.976486375,1
AT1G01760,,261592_at,6.060893518,5.620375617,5.443790728,5.925326856,5.870731201,5.907937641,0.318212969,-1.184602883,-0.2
AT1G01770,,261558_at,6.503219397,6.274693957,6.544861281,7.443744587,6.726277122,7.077459578,0.019902786,-3.458306061,-0.6
AT1G01780,PLIM2B,261559_at,6.399472241,6.033419576,6.166052369,7.378577754,6.593916332,6.637015653,0.030085172,-3.079290455,-0.7
AT1G01790,KEA1,261536_at,9.283749563,9.130779155,9.11264029,8.782210375,9.218279047,8.787469225,0.171481386,1.677723356,0.2
AT1G01800,,261537_at,9.843545256,9.97673918,9.580400755,9.84570222,9.49247754,9.68958278,NA,0.84464283,0.1
AT1G01820,PEX11C,261534_at,8.57360029,8.609922185,8.720171924,8.956405384,8.905957841,8.851836131,NA,-2.545621457,-0.3
AT1G01830,,261538_at,5.485566655,5.638246165,5.807494043,5.872353415,5.822727321,5.616135656,NA,-0.967416155,-0.1
AT1G01840,,261539_at,5.139578508,5.339704926,5.179751893,4.759597298,5.307497797,5.103949017,0.375652867,1.044252012,0.2
AT1G01860,PFC1,261652_at,7.166533117,6.93665173,6.960874092,6.375176804,6.644764881,6.573130836,0.012482118,3.917001583,0.5
AT1G01900,SBTI1.1,261653_at,7.268915375,7.529225531,7.50597579,5.792384104,6.58113429,6.785664041,0.008355498,4.340414131,1
AT1G01910,,261627_at,9.034220567,8.98095948,9.087435669,9.074461183,8.996964347,9.144736555,NA,-0.357309505,0
AT1G01920,,261654_at,5.000325287,5.11795154,5.175370418,5.442058715,4.962353066,5.332781975,NA,-1.007789295,-0.1
AT1G01930,,261625_at,6.93249244,6.919730089,6.470139553,7.189906192,6.38173993,7.211817184,0.586222121,-0.638829722,-0.2
AT1G01940,CYP18-1,261655_at,7.62837073,7.862729463,7.442377853,7.817406987,7.832102146,8.024205688,0.151417637,-1.775557691,-0.2
AT1G01950,ARK2,261656_at,6.202319692,6.222982386,6.096941912,6.934119014,6.075878543,6.380674952,0.238446322,-1.418848234,-0.3
AT1G01960,BIG3,261621_at,8.883039414,8.812031629,9.009287934,9.417627294,9.287547881,9.205435585,0.019529486,-3.477085828,-0.4
AT1G01970,,261622_at,9.228565195,9.48158624,9.520387348,8.148978121,8.378105943,8.550597867,0.001044696,7.317603344,1.1
AT1G01980,SEC1A,261623_at,3.451451738,3.428623667,3.475351052,3.387483079,3.431164152,3.540652136,NA,-0.012325414,0
AT1G01990,,261626_at,7.947254173,8.10376561,7.948407983,8.24292683,8.06977999,8.352560102,NA,-1.841920473,-0.2
AT1G02000,GAE2,261624_at,6.940004022,6.934456239,6.867647654,6.873855812,6.692130247,6.194782195,0.132642007,1.876871541,0.3
AT1G02020,,264169_at,7.295917481,7.068820684,7.124763998,7.550896344,7.556866764,7.16875978,0.138639865,-1.84323789,-0.3
AT1G02050,PKSA,264175_at,5.272118577,5.224542943,5.163822396,5.865642212,5.26478367,5.907411368,0.054094386,-2.58570968,-0.5
AT1G02060,,264167_at,4.828014026,5.015513236,4.780039523,5.139595297,4.340693534,5.007757009,0.852226459,0.219246643,0
AT1G02070,,264151_at,3.612956957,3.164903228,3.37723615,3.78473823,3.745639063,3.516528106,0.109473364,-2.025897142,-0.3
AT1G02080,,264168_at,8.783530768,8.936033341,9.231256862,9.525420778,9.168598351,9.166484949,0.127839155,-1.904672098,-0.3
AT1G02090,CSN7,264150_at,7.898672864,8.077566011,7.996986454,7.731247228,7.570056214,7.966790101,NA,1.766754842,0.2
AT1G02100,LCMT1,264171_at,7.713198542,7.485291775,7.574074478,8.011204539,7.594372604,7.704261014,NA,-1.276932535,-0.2
AT1G02110,,264176_at,7.110506936,6.987807081,6.47531814,7.571545656,6.955837403,7.423962561,0.092818123,-2.155474669,-0.5
AT1G02120,VAD1,264172_at,8.326714947,8.309134196,8.377426307,8.565404298,8.428126685,8.521870408,NA,-1.605125911,-0.2
AT1G02130,RABD2A,264122_at,8.716285793,8.790071471,8.965476876,9.23310708,9.136137129,9.043923949,NA,-2.650784611,-0.3
AT1G02140,MEE63,264152_at,10.29927263,10.39489636,10.30150664,10.43986971,10.4028542,10.35950368,NA,-0.668291702,-0.1
AT1G02150,,264177_at,10.36729006,10.40421575,10.38515482,10.09530572,9.916027297,10.19861437,NA,2.739783953,0.3
AT1G02160,,264173_at,7.781073013,7.991749344,7.692800568,8.237140813,8.92532245,8.595333428,0.009539392,-4.197350567,-0.8
AT1G02170,AMC1,264178_at,7.739501553,7.593750371,7.509805777,8.459065145,8.09752601,8.177434784,0.006101836,-4.700244273,-0.6
AT1G02180,,264179_at,6.468534198,6.836236791,6.486954779,5.805586874,6.266986285,6.340736623,0.051642032,2.623357458,0.5
AT1G02190,,264180_at,4.095913541,3.86990716,3.948200711,3.944229985,3.588832782,4.041759907,NA,0.774174201,0.1
AT1G02205,CER1,264146_at,6.976673658,7.062366112,6.835318245,6.103780734,6.163237284,6.106616642,0.000932621,7.547075661,0.8
AT1G02220,NAC003,264148_at,5.406834106,5.390165216,5.385346346,4.283925706,4.100277894,4.661878593,0.00134318,6.846385322,1
AT1G02250,NAC005,264149_at,3.283703454,3.280597736,3.201682304,3.290699661,3.246616444,3.222385376,NA,0.020521964,0
AT1G02260,,264170_at,7.358707718,7.430649506,7.352830698,7.830817107,7.466774713,7.670865888,NA,-2.203476007,-0.3
AT1G02270,,264123_at,7.44277406,7.375479604,7.396454241,7.648867433,7.644750506,7.903451093,0.041539159,-2.802416469,-0.3
AT1G02280,TOC33,264121_at,9.778041121,10.07780402,10.01063397,9.443814248,9.31374243,9.662670753,0.01911457,3.496481476,0.5
AT1G02300,CATHB1,259441_at,6.92413219,6.661859287,7.487912031,7.448257649,7.594372604,7.390725828,0.083366926,-2.241823359,-0.5
AT1G02305,CATHB2,259416_at,9.647300908,9.721301587,9.770160282,9.659364767,9.753771616,9.632449623,NA,0.29409647,0
AT1G02310,MAN1,259442_at,3.686319076,3.882291245,3.747244028,3.979398795,3.639537965,3.929006548,NA,-0.592984257,-0.1
AT1G02330,CSU2,259415_at,6.953129088,7.120464023,6.993030009,7.674988013,7.096047183,7.444088246,0.066668518,-2.419847321,-0.4
AT1G02340,HFR1,259417_at,4.960757977,4.774065002,5.201912714,7.308408498,6.396403342,6.234623536,0.002004321,-6.201175432,-1.7
AT1G02360,,259443_at,8.588448365,8.598557248,8.57359903,8.06528118,8.332798248,8.199122052,0.020556976,3.425269182,0.4
AT1G02370,,259444_at,6.239714467,6.390884485,6.451727446,5.709145953,5.759860243,6.100225621,0.016489778,3.637679698,0.5
AT1G02390,GPAT2,259418_at,4.647915629,4.97892439,4.551450414,4.940643039,4.889617013,5.024715248,NA,-1.642473977,-0.2
AT1G02400,GA2OX6,259445_at,6.568159919,6.578974928,6.592786222,7.291229923,6.229886393,6.800527792,0.48523356,-0.818576739,-0.2
AT1G02410,COX11,259446_at,8.134159815,8.082019502,7.95067027,8.272858129,8.067141524,8.057825241,NA,-0.656672573,-0.1
AT1G02420,,259414_at,5.852041239,6.033843709,6.126613079,5.576070947,5.648739041,5.88694541,0.079747523,2.276820721,0.3
AT1G02450,NIMIN-1,260904_at,3.3468398,3.603167655,3.594931598,3.372844993,3.557530181,3.465474186,NA,0.40940358,0
AT1G02460,,260903_at,5.099194143,5.052568993,5.217419783,4.832285904,4.855440858,4.873713889,NA,2.553882092,0.3
AT1G02470,,260933_at,4.305660429,4.490295822,4.03245744,3.941156502,4.267112677,4.39994564,0.707973976,0.441132612,0.1
AT1G02475,,260916_at,9.265286308,9.292605182,9.262677671,9.120746977,9.555937179,9.627831469,NA,-1.081688428,-0.2
AT1G02490,,260911_at,3.389758041,3.489403193,3.57097191,3.527546777,3.528769741,3.491013515,NA,-0.304972822,0
AT1G02500,SAM1,260913_at,11.36432622,11.46084435,11.21619788,11.64509159,11.24019392,11.48069308,NA,-0.782045517,-0.1
AT1G02540,,260906_at,3.175079079,2.915434276,3.127101751,3.275985799,3.631993158,3.055655276,0.209941284,-1.517724051,-0.2
AT1G02550,,260931_at,4.512236665,4.482690198,4.653868781,4.746429956,4.201013599,4.803469549,0.866184894,-0.198667794,0
AT1G02560,CLPP5,260912_at,11.32797861,11.45898148,11.42215896,11.20384533,10.93950588,11.26201023,NA,2.155483764,0.3
AT1G02575,,260907_at,4.148203003,4.173929718,4.476152747,4.046851219,4.578333973,4.103210001,0.90847698,0.136158932,0
AT1G02580,MEA,260908_at,4.036754632,3.87097071,4.158444562,4.071325394,4.031538292,4.256587324,NA,-0.781803621,-0.1
AT1G02620,,260930_at,5.238383437,5.157617283,5.095772144,6.540324491,6.527190942,5.954042397,0.001304869,-6.902010374,-1.2
AT1G02640,BXL2,260914_at,8.553518188,7.474408581,8.617321287,10.41079736,10.38023771,9.972477918,0.001304251,-6.904224076,-2
AT1G02660,PLIP2,260915_at,7.170478094,5.405621398,6.567263788,9.845066457,9.361623084,9.358628903,0.000760798,-7.988984056,-3.1
AT1G02670,,260909_at,4.731232612,4.648737092,4.560643493,5.130824301,4.695691565,5.029483573,0.089733266,-2.182453806,-0.3
AT1G02680,TAF13,260929_at,5.759004368,6.056802789,5.331427934,6.861374482,7.071152396,6.509568268,0.004181341,-5.186768136,-1.1
AT1G02690,IMPA-6,260910_at,7.612788635,7.49330945,7.76408489,7.294491998,7.24026235,7.415515467,NA,2.573511907,0.3
AT1G02700,,260917_at,4.379703995,4.337210165,4.063693491,4.069291225,4.715810642,4.283696872,0.649729694,-0.533286987,-0.1
AT1G02710,,260905_at,5.08692727,4.952808262,5.09324803,5.233502095,5.241074844,4.969256055,NA,-0.85120848,-0.1
AT1G02720,GATL5,260928_at,6.817510754,6.956871826,6.702134991,6.433273614,6.574515955,6.328930787,0.029379225,3.100489484,0.4
AT1G02730,CSLD5,262109_at,8.560151753,8.711932821,8.811385549,7.401668493,8.215685535,8.50831256,0.057807346,2.533363014,0.7
AT1G02740,MRG2,262108_at,6.368402443,6.309014608,6.35033383,6.50042155,6.127185388,6.391218424,NA,0.023486859,0
AT1G02750,DI19-2,262107_at,7.390624404,6.919664974,7.053246326,7.390247141,7.264047696,7.29442299,NA,-1.371618999,-0.2
AT1G02780,RPL19A,262117_at,12.56839214,12.7537056,12.52445027,12.18139977,11.86143892,12.25339983,0.015354256,3.708352488,0.5
AT1G02790,PGA3,262122_at,3.14672873,3.048542391,3.35504316,3.343129743,3.316900456,3.241602671,NA,-0.978275401,-0.1
AT1G02800,CEL2,262121_at,5.18619835,5.488079812,5.406122139,5.214108252,5.100187657,5.142919638,NA,1.731281992,0.2
AT1G02810,PME7,262105_at,6.285548875,6.13156723,5.837767618,5.904825956,6.083960907,6.452839916,0.764700071,-0.35278142,-0.1
AT1G02813,,262115_at,3.42777341,3.175177202,3.353628303,3.513744709,3.43630052,3.551799859,NA,-1.582535166,-0.2
AT1G02816,,262116_at,8.723537925,8.571162433,8.623874558,9.376890517,9.073871151,9.40442184,0.004621523,-5.047879157,-0.6
AT1G02820,LEA2,262113_at,5.861287834,5.808344826,5.527143021,6.893532694,5.995547507,5.377491821,0.363160013,-1.073429755,-0.4
AT1G02830,RPL22A,262132_at,3.797484662,3.677502008,3.816759071,3.718376147,3.78618749,3.839524294,NA,-0.163425037,0
AT1G02840,SR34,262110_at,9.253608146,9.226151313,9.238560609,9.661178553,9.403043483,9.482688751,NA,-2.445581556,-0.3
AT1G02850,BGLU11,262118_at,7.351722702,7.425363417,7.214773414,8.153417497,7.208700459,7.349894473,0.38173662,-1.03035274,-0.2
AT1G02860,BAH1,262114_at,6.873143594,6.621446644,6.843908585,8.1864854,7.505284275,7.543467069,0.004718042,-5.021974423,-1
AT1G02870,,262112_at,8.069819106,8.268359428,7.894145239,7.712881578,7.696478793,8.160031981,0.260636074,1.346336166,0.2
AT1G02890,,262130_at,8.462055571,8.38533059,8.462874216,8.964686825,8.49296417,8.566488493,0.177030641,-1.652336416,-0.2
AT1G02900,RALF1,262131_at,9.262203895,9.197587901,9.133040799,8.819937055,9.302447811,9.334850369,NA,0.290725973,0
AT1G02910,LPA1,262104_at,8.744896278,8.785232503,8.715022092,8.594044661,8.304006981,8.58144996,NA,2.121806982,0.3
AT1G02940,ATGSTF5,262103_at,3.330048951,3.814287898,3.459422973,3.215452965,3.506568464,3.32426615,0.309656445,1.206922818,0.2
AT1G02950,ATGSTF4,262120_at,5.9057663,5.969468383,5.946286811,6.476785473,6.276682916,5.872655181,0.171445956,-1.677930039,-0.3
AT1G02960,,262111_at,6.290245808,6.486571938,6.443997008,7.145956007,6.589178515,6.771478889,0.045820237,-2.721013591,-0.4
AT1G02970,WEE1,262106_at,6.116446316,6.071387441,5.947400542,4.690601862,5.414904258,5.623641647,0.017680718,3.572336301,0.8
AT1G02980,CUL2,262102_at,3.375854704,3.275463794,3.340900825,3.772532238,3.746214259,3.495237359,0.038550527,-2.865704082,-0.3
AT1G03000,PEX6,263170_at,7.791976795,7.756590548,7.831900612,8.204873359,8.079105226,8.354884057,0.01633411,-3.648638172,-0.4
AT1G03010,,263169_at,3.067401422,3.273385405,3.256531185,3.259867474,3.16191192,3.291214583,NA,-0.34148628,0
AT1G03020,GRXS1,263168_at,4.146493352,4.9739049,3.986187056,4.196451529,5.713734163,5.087562858,0.184061029,-1.621420052,-0.6
AT1G03030,,263167_at,7.478328935,7.628973761,7.41350798,7.194074235,7.158256668,6.935727958,0.022352821,3.346981916,0.4
AT1G03040,,263117_at,7.861289224,7.902439697,7.838231024,7.547919785,7.060236824,7.409307363,0.015498801,3.699609581,0.5
AT1G03050,,263166_at,3.304505107,3.041557986,3.23148172,3.105522981,3.166861866,3.210792457,NA,0.272370237,0
AT1G03055,D27,263115_at,5.944353003,5.942719716,5.196629952,5.579117779,5.52989981,5.021822609,0.261629952,1.343085495,0.3
AT1G03060,SPI,263165_at,7.843542749,7.744033795,7.937090204,7.95869821,7.860247497,7.65172297,NA,0.144979316,0
AT1G03070,LFG4,263164_at,5.868642415,5.865707075,6.332283535,6.388884432,6.57122026,5.91730924,0.260820358,-1.345706925,-0.3
AT1G03080,NET1D,263112_at,5.990519135,6.140871669,6.030658645,6.341336916,5.883863091,5.942216338,NA,-0.012341509,0
AT1G03090,MCCA,263118_at,8.166153522,7.34816423,8.132456398,11.777128,10.25612944,10.57563199,0.000874902,-7.704545411,-3
AT1G03100,,263143_at,4.992237498,5.09285614,5.014426022,4.237263846,4.633325807,4.838337674,0.037221381,2.89615496,0.5
AT1G03110,TRM82,263119_at,7.580148357,7.526745934,7.749299662,6.913884161,7.407945769,7.495916165,0.104541166,2.061271631,0.3
AT1G03130,PSAD2,263114_at,11.46962771,11.14067195,11.5410534,13.12172831,12.99296122,12.60000483,0.000513141,-8.865996486,-1.5
AT1G03150,NAA20,263113_at,7.788705913,7.960069674,7.832692506,8.386039836,8.130260436,7.73638331,0.26897721,-1.320524806,-0.2
AT1G03160,FZL,263163_at,7.882055746,7.965878204,7.767969582,6.434040805,6.96291624,7.158887554,0.003311665,5.490630402,1
AT1G03170,FAF2,264363_at,4.084449416,3.760956923,3.846296473,3.811137487,4.026107788,3.683471975,NA,0.409420804,0.1
AT1G03180,,264358_at,5.261491174,4.996867505,5.333445127,5.462940705,5.247750712,5.67457237,0.153539902,-1.764401828,-0.3
AT1G03190,XPD,264356_at,5.5672655,5.838957715,5.576235676,5.903422326,5.657677659,5.631075956,NA,-0.529077084,-0.1
AT1G03210,,264355_at,7.414699078,7.276023878,7.427227039,8.183130291,7.598646473,7.398823595,0.1444406,-1.811577237,-0.4
AT1G03250,,264366_at,7.279747653,7.592682935,7.560582306,7.797756713,7.368717259,7.738440986,0.384551642,-1.024536584,-0.2
AT1G03260,,264353_at,6.897859994,6.740409924,6.50730348,6.819196821,6.726426206,7.139259056,0.3267134,-1.163475492,-0.2
AT1G03270,CBSDUF4,264352_at,4.821324126,4.778942205,5.112469289,4.90260828,4.343290415,4.689005757,0.20400425,1.540834787,0.3
AT1G03280,,264368_at,7.752433993,7.77016199,7.779865487,8.120920095,7.32431138,7.673324777,0.783769163,0.323004187,0.1
AT1G03290,,264362_at,6.247229743,6.274986298,6.346946597,7.821335448,6.565576466,6.893779659,0.039455101,-2.845702851,-0.8
AT1G03300,DUF1,264361_at,5.326846559,4.757587392,4.459824778,4.994390413,5.307497797,5.150663752,0.239049643,-1.416663277,-0.3
AT1G03310,ISA2,264360_at,9.293022687,9.422107381,9.516581973,7.735406847,8.479994321,8.535298816,0.00330884,5.493143307,1.2
AT1G03320,,264359_at,4.747380935,4.956701005,4.557232623,4.312073352,4.432106818,4.372202736,0.035850435,2.927712899,0.4
AT1G03330,LSM2,264364_at,8.876583544,8.977939499,9.164905576,9.898468015,9.873992217,9.91139431,0.000888824,-7.665145791,-0.9
AT1G03350,,264367_at,8.718331238,8.671874409,8.876679229,8.883676139,8.697858696,8.879328085,NA,-0.5545975,-0.1
AT1G03360,RRP4,264357_at,7.33418259,7.638940755,7.327122174,7.220421692,6.839165839,7.534482036,0.290218605,1.259686836,0.2
AT1G03370,,264351_at,7.4534295,7.17748362,7.190181463,7.367390216,7.178797404,6.785855893,0.409680938,0.969726572,0.2
AT1G03380,ATG18G,264828_at,7.055234835,6.972680688,7.010723506,7.90912037,7.358927448,7.603081045,0.010775562,-4.063854657,-0.6
AT1G03390,,264827_at,3.252271757,3.162500905,3.302480342,3.142096855,3.602901279,3.255410979,NA,-0.665222411,-0.1
AT1G03400,,264843_at,6.905066829,6.665832065,6.311465984,9.044281837,8.007156789,8.231865748,0.001513258,-6.651867535,-1.8
AT1G03410,2A6,264826_at,4.836435194,5.107814918,4.517940599,6.083615769,5.796037012,5.854045524,0.00164667,-6.524777139,-1.1
AT1G03430,AHP5,264838_at,7.927373676,7.717808548,8.155525428,8.713222432,8.53513471,8.484347023,0.006957003,-4.544598202,-0.6
AT1G03440,,264840_at,7.758544767,8.108122413,7.991447665,7.581051688,7.582882104,7.465730625,0.024606295,3.258795318,0.4
AT1G03445,BSU1,264823_at,5.864041768,5.769155366,5.785298332,5.896955421,5.943265442,5.980389804,NA,-1.303766296,-0.1
AT1G03457,,264822_at,6.80869691,6.794593638,6.740197519,8.168933745,7.136578876,7.467287477,0.020367707,-3.433922411,-0.8
AT1G03470,NET3A,264821_at,6.934356442,6.570996125,6.369664863,7.223647017,6.693875051,7.079931869,0.115527442,-1.983551445,-0.4
AT1G03475,CPX1,264820_at,10.24072107,10.275361,10.46213256,9.016384816,9.528614845,9.643978754,0.003740617,5.326402973,0.9
AT1G03490,NAC006,264829_at,3.456790183,3.431587587,3.399851107,3.397029737,3.409151351,3.416773392,NA,0.217465636,0
