 Gene ID,Gene Name,DesignElementAccession,wt_A_sucrose,wt_B_sucrose,wt_C_sucrose,wt_72h_MS_1,wt_72h_MS_2,wt_72h_MS_3,'sucrose; 1 percent' vs 'none' in 'wild type'.p-value,'sucrose; 1 percent' vs 'none' in 'wild type'.t-statistic,'sucrose; 1 percent' vs 'none' in 'wild type'.log2foldchange
AT1G15000,SCPL50,260739_at,7.810225335,8.036212429,7.879264789,6.565431236,6.760032978,7.520112918,0.010037987,4.140682354,1
AT1G15010,,260744_at,4.463537639,4.369293217,4.159945788,7.685825901,7.280710005,7.466613251,4.79E-05,-21.94877888,-3.1
AT1G15020,QSOX1,260740_at,6.458661279,6.370712219,6.473978044,7.194154265,6.479190797,6.854101995,0.076904145,-2.305422845,-0.4
AT1G15040,GAT1_2.1,260741_at,6.156964769,5.790710175,5.50759775,10.46362161,9.662657507,9.710666099,7.32E-05,-16.80854713,-4.1
AT1G15050,IAA34,260742_at,4.050880781,4.071398822,3.990522279,5.66485693,4.780413225,4.394632451,0.025641119,-3.221265349,-0.9
AT1G15060,,262604_at,7.156003458,7.100801148,7.094005579,7.674624694,7.474750326,7.388656857,0.02116124,-3.396329502,-0.4
AT1G15080,LPP2,262596_at,6.406721902,6.398731699,6.360978421,6.39328563,6.805481657,6.485806009,NA,-1.301033277,-0.2
AT1G15100,RHA2A,262590_at,7.87487235,8.223560572,8.010235647,7.382813512,7.938069415,7.301212495,0.049143313,2.663927082,0.5
AT1G15110,,262583_at,7.429094362,7.064848842,6.947135285,7.734945426,7.301639414,7.252090286,0.19303546,-1.585200411,-0.3
AT1G15120,,262593_at,9.824370486,9.882471834,10.01973865,9.787543473,10.14393125,9.973686756,NA,-0.460411292,-0.1
AT1G15130,BRO1,262588_at,8.397668549,8.512966361,8.423710357,8.90195898,8.536718126,8.624666557,NA,-1.896705497,-0.2
AT1G15140,,262572_at,10.59323956,10.73946394,10.49460579,8.583996316,9.359365126,9.476118825,0.00165987,6.514325158,1.5
AT1G15170,DTX12,262605_at,7.198262621,6.957030673,7.248015941,6.885176661,6.661846716,7.057430792,0.133845149,1.870087386,0.3
AT1G15180,DTX13,262569_at,8.401615563,8.617927569,8.424252593,8.854498348,8.337278898,8.330001302,0.893581448,-0.158208138,0
AT1G15190,FLA19,262606_at,4.068199281,4.243310036,4.109821465,4.320074923,4.508406922,4.505370264,NA,-2.653664151,-0.3
AT1G15200,,262570_at,7.069492035,7.090811148,7.338035203,7.337753572,6.729780714,7.198079078,0.704217543,0.446936005,0.1
AT1G15210,ABCG35,262575_at,8.585351981,8.54437717,8.523179967,8.599784653,8.694587671,8.69832297,NA,-1.103452977,-0.1
AT1G15220,CCMH,262591_at,6.710128859,6.489059527,6.23599701,7.470484947,6.870071194,7.021360734,0.020460572,-3.429966635,-0.6
AT1G15230,,262574_at,6.560252486,6.502584478,6.49895171,7.495119752,7.185643738,7.237807902,0.001661356,-6.512224246,-0.8
AT1G15250,RPL37A,262594_at,7.273408927,7.612882658,7.246429024,6.58893435,7.045351347,7.25412823,0.08819509,2.196515763,0.4
AT1G15260,,262598_at,9.305085272,9.684169921,9.235447665,8.61389049,9.231920596,9.155497808,0.100541218,2.091511194,0.4
AT1G15270,,262602_at,8.730076944,8.874003482,8.671334065,9.089032541,9.640641223,8.950258715,0.056048551,-2.55817254,-0.5
AT1G15280,,262576_at,7.39170328,7.451869993,7.589947799,7.856456998,7.544638168,7.837242402,NA,-2.084903239,-0.3
AT1G15290,,262577_at,8.956410657,9.106721278,8.815760892,7.971807129,7.959318582,8.343322429,0.00234998,5.9723273,0.9
AT1G15310,SRP-54A,262601_at,6.41819176,6.380267959,6.617583266,6.458496675,6.449407411,6.600210422,NA,-0.262249276,0
AT1G15320,,262579_at,3.301901075,3.309340557,3.666773982,3.353628303,3.315156497,3.372465007,NA,0.603062401,0.1
AT1G15330,PV42A,262580_at,4.295694404,4.061582398,4.655492732,7.854192376,6.057556044,7.1622899,0.001433006,-6.737317266,-2.7
AT1G15340,MBD10,262600_at,7.928656342,7.981413708,7.233016747,8.571117573,7.973335966,8.747240113,0.041626504,-2.800427815,-0.7
AT1G15350,,262599_at,7.660099117,7.364302785,7.66441789,8.424761525,8.104082615,8.070021572,0.007985892,-4.394925887,-0.6
AT1G15360,WIN1,262595_at,4.659554393,4.525963855,4.727654372,5.346739761,5.48362794,5.183045168,0.002914501,-5.660459571,-0.7
AT1G15370,,262581_at,9.170901148,9.139823202,9.081178956,9.702988372,9.52962564,9.66591266,0.006250098,-4.669609739,-0.5
AT1G15380,,262603_at,6.450075716,6.305050825,5.870744341,9.241027787,7.757615031,8.07902429,0.002153003,-6.094166365,-2.2
AT1G15390,PDF1A,262573_at,9.398352567,9.529028954,9.408976945,8.798708092,8.776451402,8.950020086,0.003364257,5.469157427,0.6
AT1G15400,,262592_at,9.044878586,8.884798295,8.757629043,9.868320451,9.925613568,9.990278184,0.000542186,-8.766727942,-1
AT1G15410,,262582_at,7.407992986,7.483174556,7.177367591,7.232212496,7.107880831,6.894390513,0.109256928,2.02739365,0.3
AT1G15420,,262544_at,8.302132242,8.460529651,8.313387073,7.874533596,7.791318246,7.982346895,0.009244337,4.232739373,0.5
AT1G15430,,262571_at,7.608103799,7.367024792,7.0285297,8.150491003,7.811283271,8.361363214,0.010874292,-4.054187001,-0.8
AT1G15440,PWP2,262584_at,8.264234759,8.60301951,8.611422931,7.620176215,7.616073515,7.964504021,0.004712015,5.024001677,0.8
AT1G15460,BOR4,262585_at,4.599567835,4.937520838,4.476829043,4.047375192,4.878695253,4.829252942,0.754835483,0.368154167,0.1
AT1G15470,,262597_at,7.948776277,7.989306076,7.856043847,7.167659661,6.995331787,7.392427112,0.002826205,5.702915762,0.7
AT1G15480,,262586_at,5.529964945,5.66638462,5.45414109,5.020975999,4.628217231,5.608492174,0.107055576,2.043125705,0.5
AT1G15490,,262587_at,6.218071937,6.32128947,6.213203859,6.471692615,6.33350769,6.24555717,NA,-0.885477409,-0.1
AT1G15510,PCMP-H73,261762_at,6.745690681,7.323425612,6.980825245,4.638191456,5.593330012,6.257571539,0.009678639,4.180287944,1.5
AT1G15520,ABCG40,261763_at,4.343222622,4.488732434,4.521966185,4.558888188,4.61652246,4.60283478,NA,-1.319499929,-0.1
AT1G15530,LECRKS1,261764_at,4.116171534,3.912049017,4.253091982,4.784118659,4.569157014,4.571560347,0.009681056,-4.17935615,-0.5
AT1G15550,GA3OX1,261768_at,8.341504568,8.57184687,8.135432454,7.132265929,7.371598835,6.892029413,0.000996694,7.397805597,1.2
AT1G15570,CYCA2-3,261765_at,6.186808063,6.06589136,5.883958808,6.09854165,5.966885785,5.767060182,NA,0.750874103,0.1
AT1G15580,IAA5,261766_at,4.589712982,4.652697049,4.760123167,4.894841016,4.966531159,4.707383951,NA,-1.594508221,-0.2
AT1G15590,,261759_at,3.137748189,3.042790453,3.076309673,3.079960929,3.301195167,3.138728408,NA,-0.787611315,-0.1
AT1G15600,,261760_at,3.956153759,3.932289483,4.315146646,4.245398255,4.567962161,4.384616725,0.082406913,-2.250784625,-0.3
AT1G15640,,257480_at,5.239729668,4.902603178,5.217054673,4.969286387,5.097582781,5.094439096,NA,0.513140301,0.1
AT1G15660,CENP-C,261761_at,6.998583959,7.085264342,6.940158931,7.241188614,7.079579438,7.334994362,NA,-1.814490036,-0.2
AT1G15670,,259502_at,9.731536633,9.362089124,9.707029456,10.38260125,10.37583831,10.21752639,0.0036376,-5.362527425,-0.7
AT1G15690,AVP1,259504_at,12.92991746,12.89850564,12.96818407,12.41375387,12.3719996,12.56286295,0.007500216,4.460309695,0.5
AT1G15700,ATPC2,259485_at,6.53796902,6.61050891,6.358794813,7.278995423,6.788620035,7.028348104,0.018373675,-3.533325306,-0.5
AT1G15710,TYRAAT2,259486_at,8.753810733,8.903774934,8.659810816,7.67596145,7.590559896,8.006108297,0.001150987,7.135178507,1
AT1G15720,TRFL5,259487_at,5.440320287,4.956185424,5.112286019,5.725045513,5.310881499,5.502704127,0.100357481,-2.09284794,-0.3
AT1G15730,,259499_at,9.356231614,9.287302528,9.150879357,9.479297409,9.027178402,9.186010295,NA,0.238637896,0
AT1G15740,,259500_at,8.610380199,8.10745054,8.570861925,9.856794394,9.328034222,9.50624966,0.002140687,-6.10304499,-1.1
AT1G15750,TPL,259501_at,9.384817071,9.488703547,9.429515155,9.733506449,9.162647512,9.197036064,0.718289896,0.424936303,0.1
AT1G15780,,259488_at,8.095035273,8.203805891,7.95818729,8.101943151,8.186036804,8.120182584,NA,-0.447675923,-0.1
AT1G15790,,259489_at,3.6746224,3.805448783,3.505255633,3.886207056,3.678329681,3.82047997,NA,-1.072819162,-0.1
AT1G15800,,259490_at,6.265958645,5.993791331,6.349171672,6.524109649,6.834025565,6.981953223,0.015672884,-3.689210489,-0.6
AT1G15810,,259505_at,8.177251876,8.361660548,8.252116558,7.61992899,7.6438783,7.873277042,0.006746503,4.582244687,0.6
AT1G15820,LHCB6,259491_at,13.07723751,12.71971411,13.19236702,13.54376665,13.49492907,13.27483695,0.037070415,-2.89940804,-0.4
AT1G15830,,259492_at,5.739400476,4.953166141,5.224826367,5.979190542,5.891145108,5.731996761,0.038800598,-2.860209647,-0.6
AT1G15840,,259493_at,5.764713777,5.289357611,5.71586902,6.070385892,5.704835035,5.992292577,0.110507068,-2.018592058,-0.3
AT1G15850,,259494_at,3.178599071,3.16600713,3.28355634,3.304226318,3.438494191,3.485751002,NA,-1.826941648,-0.2
AT1G15860,,259497_at,7.847708142,7.964553997,7.883666404,7.864638176,7.846449537,7.889975596,NA,0.308213505,0
AT1G15870,,259503_at,4.779539102,4.754965867,4.298477055,4.274795098,4.329846928,4.585446933,0.26942197,1.319173414,0.2
AT1G15880,GOS11,259498_at,8.441449297,8.431720738,8.567529417,9.758490732,9.133170332,9.418167381,0.002597479,-5.835467003,-1
AT1G15890,,259495_at,5.336126494,4.923925607,5.001866012,5.422614539,5.464650586,5.986496449,0.036233855,-2.918746007,-0.5
AT1G15900,,259496_at,4.264981269,4.38545389,4.86616498,5.037315933,4.905928498,4.852132989,0.056539563,-2.550847714,-0.4
AT1G15920,CAF1-2,261841_at,7.724365581,7.84717369,7.714402594,8.465641617,8.242638121,8.168274236,0.008105482,-4.375921346,-0.5
AT1G15930,RPS12A,261789_at,11.85179316,11.94539146,11.87644134,11.85449267,11.61916275,11.79077698,NA,1.211573253,0.1
AT1G15940,,261844_at,4.569345009,4.831926869,4.161373786,4.689654705,4.114589109,4.35816443,0.579789037,0.649296266,0.1
AT1G15950,CCR1,261792_at,8.727543857,8.799444358,8.646035121,9.092812279,8.753189172,8.296292589,0.964421461,0.053250157,0
AT1G15960,NRAMP6,261845_at,5.216580557,5.338415266,5.396239366,4.897707267,5.039417884,5.392915302,0.244264021,1.399328154,0.2
AT1G15980,PNSB1,261788_at,10.93295783,10.86251669,10.73809898,11.12950023,11.03644422,10.87716416,NA,-1.429131531,-0.2
AT1G15990,CNGC7,261786_at,4.174161624,3.785479235,3.845412563,3.974518592,3.865795438,3.847765133,NA,0.292201813,0
AT1G16000,,261790_at,7.662469093,7.934827341,7.617441932,7.694982353,8.34257791,8.245695693,0.126546577,-1.912495211,-0.4
AT1G16010,MRS2-1,261795_at,8.819439696,8.858191938,8.922549182,8.613437135,8.604114643,8.557795651,NA,2.689471899,0.3
AT1G16020,CCZ1A,261787_at,7.766537474,7.623327212,7.346322292,6.655292475,6.941057079,6.926587116,0.004718042,5.021621539,0.7
AT1G16030,HSP70-5,261838_at,4.816176372,4.829735513,4.754428923,4.989369696,4.593951689,4.904453634,NA,-0.222069405,0
AT1G16040,,261839_at,6.961751282,7.156935654,6.769564999,6.697610283,6.232229137,6.560346852,0.035953703,2.925445143,0.5
AT1G16060,ADAP,261794_at,6.16198378,6.451070837,5.922588812,5.876381946,5.92423376,5.62699935,0.076242658,2.312537068,0.4
