Gene stable ID
AT2G20610
AT1G59750
AT2G45210
AT4G24670
AT5G45550
AT3G20220
AT5G45800
AT2G37030
AT1G15580
AT3G28860
AT5G06140
AT3G03830
AT2G44830
AT4G32810
AT2G25930
AT1G08980
AT2G17500
AT5G25620
AT5G10510
AT3G21860
AT1G74650
AT2G32700
AT4G34810
AT2G22240
AT4G08920
AT1G19840
AT1G18510
AT5G18060
AT5G45890
AT5G46700
AT1G79200
AT2G06850
AT2G22670
AT1G75500
AT4G34770
AT3G17600
AT1G63260
AT3G02875
AT4G32551
AT4G36260
AT4G37900
AT3G43120
AT2G33860
AT5G12050
AT3G62100
AT5G18050
AT5G57390
AT3G03660
AT1G56010
AT4G37750
AT3G21830
AT1G14000
AT3G04730
AT5G49980
AT1G10840
AT3G50610
AT4G12550
AT5G47390
AT1G19830
AT3G16640
AT4G38630
AT1G29430
AT4G38840
AT1G04240
AT1G80360
AT3G02260
AT5G09410
AT3G61415
AT5G66350
AT5G18030
AT3G15540
AT4G39950
AT1G05630
AT1G19790
AT3G24650
AT4G27280
AT4G02570
AT1G04250
AT5G01270
AT1G31710
AT1G77690
AT2G34680
AT2G46530
AT1G29990
AT1G72700
AT3G62150
AT2G20160
AT1G78570
AT2G46990
AT1G77850
AT4G02610
AT1G08410
AT3G13300
AT1G69588
AT5G57560
AT3G51800
AT1G14350
AT3G23030
AT5G55250
AT3G21110
AT2G32410
AT2G38120
AT5G57090
AT1G08030
AT2G17800
AT3G46110
AT1G53940
AT1G47290
AT1G23080
AT2G21050
AT1G71930
AT1G68130
AT3G63300
AT2G23170
AT1G48910
AT4G30430
AT5G55910
AT3G60010
AT5G20820
AT5G24520
AT1G76520
AT1G48410
AT3G51200
AT2G43010
AT5G60440
AT3G26790
AT4G02450
AT5G56650
AT1G76530
AT1G10230
AT5G07990
AT4G23570
AT5G47230
AT1G15750
AT1G27340
AT2G21210
AT1G80680
AT5G42410
AT2G45950
AT1G15690
AT4G32280
AT3G50410
AT5G37770
AT4G24390
AT4G34470
AT1G17345
AT3G03840
AT1G76190
AT5G50320
AT1G28300
AT4G23850
AT3G23050
AT1G64625
AT1G27740
