AT2G01050
ATCG00900
AT3G05560
AT3G05560
AT3G05560
AT4G35500
AT5G23535
AT5G23535
AT2G32600
AT4G09012
AT1G29070
AT1G04170
AT1G04170
ATCG00905
AT1G29250
AT5G47930
AT4G01790
AT4G01590
AT4G01590
AT4G01590
AT5G53770
AT3G19810
AT3G19810
AT5G57280
AT5G19820
AT3G24830
AT4G17560
AT3G12930
AT2G25410
AT3G14700
AT3G14700
ATCG00380
AT5G55190
AT5G02250
AT1G72370
AT1G72370
AT3G51260
AT1G02460
AT4G13170
AT1G70200
AT3G55620
AT2G21330
AT5G51940
AT3G18080
AT3G60770
AT1G63180
AT5G42965
AT5G02500
AT5G07080
AT4G16444
AT1G55790
AT5G57020
AT4G34730
AT4G34730
AT4G34730
AT1G06925
AT5G63630
AT5G63630
AT5G18440
AT5G18440
AT4G20980
AT4G20980
AT4G20980
AT4G20980
AT1G33140
AT4G00100
AT4G28360
AT5G28740
AT2G39780
AT2G39780
AT5G51130
AT5G51130
AT4G39880
AT4G25890
AT3G45540
AT3G13180
AT2G03130
AT1G66530
AT4G39280
AT4G39280
AT2G40430
AT2G40430
AT2G40430
AT5G61970
AT3G47370
AT3G47370
AT3G47370
AT3G02760
AT3G02760
AT2G29540
AT2G29540
AT2G29540
AT3G11450
AT3G57480
AT1G04510
AT1G58050
AT3G44890
AT5G62190
AT4G20910
AT4G20910
AT1G80780
AT1G80780
AT1G80780
AT5G66860
AT2G27530
AT2G27530
AT3G57290
AT1G09590
AT4G24650
AT4G38020
AT1G64440
AT2G17970
AT1G71350
AT3G57940
AT3G57940
AT5G08650
AT5G08650
AT5G24770
ATCG00330
AT5G26000
AT3G62860
AT3G62850
AT3G63190
AT5G66360
AT5G66360
AT3G27850
AT2G24990
AT5G52490
AT3G26560
AT1G50920
AT3G62030
AT5G04895
AT5G02680
AT1G48520
AT1G48520
AT4G22290
AT3G09620
AT3G09620
ATCG00810
AT1G09625
AT2G05370
AT2G05370
AT2G17520
AT1G67120
AT1G67120
AT1G05400
AT4G30800
AT5G26742
AT5G26742
AT5G26742
AT5G01940
AT1G57650
AT3G28956
AT3G28956
AT3G28956
AT3G28956
AT3G28956
AT3G28956
AT3G28956
AT3G28956
AT3G28956
AT3G28956
AT3G28956
AT3G56910
AT1G52370
AT1G52370
AT1G52370
AT1G52370
AT1G77030
AT2G26135
AT1G17880
AT1G47915
AT1G25350
AT1G25350
AT1G78190
AT1G73230
AT3G28500
ATCG00190
AT1G07320
AT1G07320
AT1G07320
AT1G07320
AT5G65220
AT3G46610
AT3G46610
AT4G16030
AT5G40310
AT5G40310
AT3G57150
AT3G61240
AT3G61240
AT1G48630
AT3G55510
AT1G67090
AT5G20020
AT2G31610
AT5G59460
ATMG00080
AT5G08610
AT1G16790
AT1G30460
AT5G42905
AT2G16360
AT4G33370
AT3G56330
AT4G38890
AT1G04080
AT3G27830
AT3G27830
AT5G27120
AT2G40205
AT3G06180
AT3G06180
AT5G03850
AT2G17110
AT1G44835
AT1G44835
AT3G63510
AT3G63510
ATCG00750
AT5G43640
AT5G25757
AT5G11170
AT3G56510
AT3G56510
AT3G56510
AT3G56510
AT3G56510
AT4G00420
AT4G00420
AT4G00420
AT1G71370
AT1G16280
AT1G80620
AT3G13940
AT3G45480
AT2G45710
AT1G61700
AT3G03300
AT3G03300
AT3G03300
AT3G03300
AT1G68460
AT2G05220
AT2G05220
AT2G25100
AT2G25100
AT4G26600
AT4G26600
AT4G26600
AT4G26600
AT4G26600
AT4G26600
AT4G26600
AT4G26600
AT1G66260
AT1G66260
AT1G70600
AT2G19730
AT2G19730
AT2G19730
AT3G31430
AT3G11870
AT2G24060
AT2G43650
AT1G10840
AT2G37220
AT1G63980
AT4G01020
AT2G32050
AT4G18460
AT4G18460
AT1G66510
AT1G66510
AT1G66510
AT2G28450
AT2G28450
AT1G27820
AT2G28815
AT1G45110
AT4G31150
AT4G31150
AT2G23930
AT2G38820
AT2G38820
AT2G27760
AT4G20480
AT4G20480
AT1G29430
AT2G21290
AT1G22270
AT1G12244
AT1G47660
AT5G22100
AT5G09380
AT5G09380
AT5G09380
AT4G15420
AT1G25410
AT3G09440
AT3G09440
AT3G09440
AT3G09440
AT3G62210
AT1G70980
AT1G54385
AT1G54385
AT1G54385
AT2G47570
AT4G15850
AT3G12390
AT4G29430
AT3G04600
AT3G04600
AT3G04600
AT1G20620
AT5G26880
AT2G04390
